轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 249s , 1.0059 , 0.6141 , 0.8105 , 0.5828 , 0.5828 , 0.8165,decom_word
2, 248s , 0.8772 , 0.5725 , 0.8178 , 0.5407 , 0.5407 , 0.8162,decom_word
3, 248s , 0.8534 , 0.5557 , 0.8177 , 0.5693 , 0.5693 , 0.8162,decom_word
4, 248s , 0.8420 , 0.5477 , 0.8178 , 0.5513 , 0.5513 , 0.8162,decom_word
5, 248s , 0.8271 , 0.5381 , 0.8178 , 0.5341 , 0.5341 , 0.8162,decom_word
6, 246s , 0.8124 , 0.5275 , 0.8179 , 0.5584 , 0.5584 , 0.8162,decom_word
7, 247s , 0.8094 , 0.5256 , 0.8181 , 0.5391 , 0.5391 , 0.8162,decom_word
8, 248s , 0.8058 , 0.5232 , 0.8181 , 0.5362 , 0.5362 , 0.8162,decom_word
9, 248s , 0.7971 , 0.5168 , 0.8182 , 0.5724 , 0.5724 , 0.8162,decom_word
10, 248s , 0.7922 , 0.5131 , 0.8183 , 0.5478 , 0.5478 , 0.8165,decom_word
11, 248s , 0.7826 , 0.5057 , 0.8184 , 0.6005 , 0.6005 , 0.8165,decom_word
12, 248s , 0.7785 , 0.5028 , 0.8185 , 0.5968 , 0.5968 , 0.8158,decom_word
13, 248s , 0.7715 , 0.4976 , 0.8186 , 0.5568 , 0.5568 , 0.8162,decom_word
