embedding_type,algorithm_type,epochs,epoch_time,parameters,test_acc
fastcbow,decom_char,10,48,1912625,0.8201
fastcbow,decom_word,13,248,2325809,0.8165
fastcbow,dssm_both,10,331,1898189,0.8371
fastcbow,esim_char,13,245,8925637,0.8384
fastcbow,esim_word,13,421,9338821,0.8306
fastcbow,siamese_char,21,239,984928,0.8177
fastcbow,siamese_word,36,368,1398112,0.8169
fastskip,decom_char,10,48,1912625,0.8263
fastskip,decom_word,11,248,2325809,0.8189
fastskip,dssm_both,11,334,1898189,0.8244
fastskip,esim_char,12,243,8925637,0.8415
fastskip,esim_word,11,422,9338821,0.8236
fastskip,siamese_char,21,238,984928,0.8169
fastskip,siamese_word,37,360,1398112,0.8181
